,win_rate,pick_rate,ban_rate,win_rate_z,pick_rate_z,ban_rate_z,interaction,tier_score_z
Miya,48.23,0.71,0.22,-0.7478854257318526,-0.19971996368611483,-0.34251826726622914,0.14936765006854014,-0.5799125164642827
Kaja,49.26,0.21,0.22,-0.33527936436527817,-1.1095719267072486,-0.34251826726622914,0.3720165703039633,-0.6043416544467061
Lesley,45.86,1.23,0.33,-1.6972799552840654,0.7465260778558642,-0.33426866632810603,-1.26706374804159,-0.628464004047371
Hayabusa,47.93,0.73,0.18,-0.8680619484599797,-0.16332588516526947,-0.34551812215281935,0.14177698611051473,-0.641851755912331
Chou,44.33,1.43,0.65,-2.31018022119752,1.1104668630643175,-0.3102698272353843,-2.5653785833464413,-0.6419561743684521
Fredrinn,48.12,0.62,0.46,-0.791950150732166,-0.3634933170299188,-0.32451913794668785,0.2878685872119792,-0.6722950078311782
Kimmy,49.06,0.18,0.05,-0.4153970461840287,-1.1641630444885165,-0.35526765053423753,0.4835898899571357,-0.6902871144041091
Fanny,46.71,0.78,16.24,-1.3567798075543678,-0.07234068886315602,0.8589236148131493,0.09815038591410322,-0.7229445917092578
Leomord,48.88,0.21,0.03,-0.4875029598209055,-1.1095719267072486,-0.35676757797753256,0.5409195984039685,-0.731593813946779
Minsitthar,48.22,0.47,2.08,-0.7518913098227893,-0.636448905936259,-0.20302501503978443,0.478540401519695,-0.7364088449376451
Akai,48.33,0.44,0.13,-0.7078265848224758,-0.6910400237175269,-0.3492679407610571,0.4891364999636198,-0.7476734479297498
Ling,48.02,0.54,0.23,-0.8320089916415399,-0.5090696311133002,-0.34176830354458154,0.42355051045790754,-0.7624481503865176
Lunox,48.67,0.24,0.03,-0.5716265257305957,-1.0549808089259805,-0.35676757797753256,0.6030550145188116,-0.7808472572702448
Lapu-Lapu,47.87,0.42,0.03,-0.8920972530056063,-0.7274341022383723,-0.35676757797753256,0.6489419643494513,-0.900420406929477
Jawhead,47.46,0.53,0.1,-1.056338500734047,-0.5272666703737229,-0.3515178319259998,0.5569720840696113,-0.929741859636681
Yve,48.34,0.13,0.06,-0.7038207007315361,-1.2551482407906298,-0.35451768681259,0.8833993143552159,-0.9659369965295108
Esmeralda,46.91,0.64,0.24,-1.2766621257356172,-0.32709923850907346,-0.341018339822934,0.4175952091614954,-0.9824438778743778
Barats,48.16,0.08,0.04,-0.7759266143684159,-1.3461334370927434,-0.356017614255885,1.0445007603314913,-1.0643921220989163
Silvanna,47.67,0.25,0.04,-0.9722149348243568,-1.0367837696655577,-0.356017614255885,1.0079766650523512,-1.0975228784598565
Selena,46.88,0.49,0.1,-1.2886797780084278,-0.6000548274154136,-0.3515178319259998,0.7732785217865806,-1.1306049528051263
Karrie,46.11,0.66,0.05,-1.597132853010625,-0.2907051599882281,-0.35526765053423753,0.46429476155690896,-1.1771051016949496
Beatrix,44.71,0.72,0.05,-2.15795662574189,-0.18152292442569215,-0.35526765053423753,0.3917185974884667,-1.4717885736293859
Grock,46.4,0.14,0.03,-1.4809622143734347,-1.236951201530207,-0.35676757797753256,1.8318779904900562,-1.6177058638012536
Balmond,44.89,0.56,0.09,-2.085850712105013,-0.4726755525924548,-0.3522677956476473,0.9859306379696023,-1.6197056123521891
Aurora,46.42,0.1,0.04,-1.4729504461915581,-1.309739358571898,-0.356017614255885,1.9291811726031223,-1.6504439840169165
Valentina,44.92,0.48,0.43,-2.0738330598321997,-0.6182518666758363,-0.3267690291116305,1.2821511604153188,-1.7043083890180872
Pharsa,45.16,0.38,0.03,-1.9776918416496991,-0.800222259280063,-0.35676757797753256,1.5825930336846707,-1.7567044132433993
Paquito,44.72,0.47,0.06,-2.153950741650953,-0.636448905936259,-0.35451768681259,1.370879592964343,-1.7788362430893936
